Year,Lag_1,Lag_2,Lag_3,Lag_4,Lag_5,Volume,Up_Down
2015,-0.0086636357547137,-0.00613075759687622,1.04018007597854e-5,0.00699491145854052,0.00168925299344028,367.74,Down
2015,-0.00195099291603758,-0.0086636357547137,-0.00613075759687622,1.04018007597854e-5,0.00699491145854052,476.45,Down
2015,-0.0157061527753391,-0.00195099291603758,-0.0086636357547137,-0.00613075759687622,1.04018007597854e-5,553.62,Down
2015,-0.0128595593403216,-0.0157061527753391,-0.00195099291603758,-0.0086636357547137,-0.00613075759687622,482.51,Up
2015,0.0125698384842165,-0.0128595593403216,-0.0157061527753391,-0.00195099291603758,-0.0086636357547137,548.1,Up
2015,0.0184325455276562,0.0125698384842165,-0.0128595593403216,-0.0157061527753391,-0.00195099291603758,430.67,Down
2015,-0.00678182251978909,0.0184325455276562,0.0125698384842165,-0.0128595593403216,-0.0157061527753391,491.28,Down
2015,-0.00836722242653695,-0.00678182251978909,0.0184325455276562,0.0125698384842165,-0.0128595593403216,566.52,Down
2015,-6.8814567250698e-4,-0.00836722242653695,-0.00678182251978909,0.0184325455276562,0.0125698384842165,527.38,Down
2015,-0.00475812506703857,-6.8814567250698e-4,-0.00836722242653695,-0.00678182251978909,0.0184325455276562,525.69,Down
2015,-0.0147650948845952,-0.00475812506703857,-6.8814567250698e-4,-0.00836722242653695,-0.00678182251978909,548.6,Up
2015,0.0139056011831576,-0.0147650948845952,-0.00475812506703857,-6.8814567250698e-4,-0.00836722242653695,473.62,Up
2015,0.00441698781714064,0.0139056011831576,-0.0147650948845952,-0.00475812506703857,-6.8814567250698e-4,463.22,Up
2015,0.00270040925056655,0.00441698781714064,0.0139056011831576,-0.0147650948845952,-0.00475812506703857,515.53,Up
2015,0.017778558604111,0.00270040925056655,0.00441698781714064,0.0139056011831576,-0.0147650948845952,414.94,Up
2015,0.00157460424385325,0.017778558604111,0.00270040925056655,0.00441698781714064,0.0139056011831576,460.89,Up
2015,0.0029172656729468,0.00157460424385325,0.017778558604111,0.00270040925056655,0.00441698781714064,469.34,Down
2015,-0.0189154525793418,0.0029172656729468,0.00157460424385325,0.017778558604111,0.00270040925056655,534.45,Down
2015,-0.00929402969133829,-0.0189154525793418,0.0029172656729468,0.00157460424385325,0.017778558604111,529.67,Up
2015,0.00979303534505251,-0.00929402969133829,-0.0189154525793418,0.0029172656729468,0.00157460424385325,638.81,Down
2015,-0.0102852408821777,0.00979303534505251,-0.00929402969133829,-0.0189154525793418,0.0029172656729468,525.39,Up
2015,0.00894236328647488,-0.0102852408821777,0.00979303534505251,-0.00929402969133829,-0.0189154525793418,553.8,Up
2015,0.0109158400492657,0.00894236328647488,-0.0102852408821777,0.00979303534505251,-0.00929402969133829,549.87,Down
2015,-0.00233515379441339,0.0109158400492657,0.00894236328647488,-0.0102852408821777,0.00979303534505251,501.77,Up
2015,0.0102614115801303,-0.00233515379441339,0.0109158400492657,0.00894236328647488,-0.0102852408821777,494.1,Down
2015,-0.00434408511888538,0.0102614115801303,-0.00233515379441339,0.0109158400492657,0.00894236328647488,411.22,Down
2015,-0.00387614872270454,-0.00434408511888538,0.0102614115801303,-0.00233515379441339,0.0109158400492657,441.96,Up
2015,0.0130427146789786,-0.00387614872270454,-0.00434408511888538,0.0102614115801303,-0.00233515379441339,433.8,Up
2015,0.00282602111683199,0.0130427146789786,-0.00387614872270454,-0.00434408511888538,0.0102614115801303,480.02,Up
2015,0.0117533606321778,0.00282602111683199,0.0130427146789786,-0.00387614872270454,-0.00434408511888538,455.86,Up
2015,0.00745840032443948,0.0117533606321778,0.00282602111683199,0.0130427146789786,-0.00387614872270454,450.15,Up
2015,0.00110955813839445,0.00745840032443948,0.0117533606321778,0.00282602111683199,0.0130427146789786,410.2,Up
2015,0.00144715437197771,0.00110955813839445,0.00745840032443948,0.0117533606321778,0.00282602111683199,380.21,Up
2015,0.00373800536446574,0.00144715437197771,0.00110955813839445,0.00745840032443948,0.0117533606321778,456.72,Up
2015,0.00634962535788991,0.00373800536446574,0.00144715437197771,0.00110955813839445,0.00745840032443948,452.05,Up
2015,0.00100888423456962,0.00634962535788991,0.00373800536446574,0.00144715437197771,0.00110955813839445,429.64,Up
2015,0.00144125040062722,0.00100888423456962,0.00634962535788991,0.00373800536446574,0.00144715437197771,422.94,Down
2015,-1.9725771519197e-4,0.00144125040062722,0.00100888423456962,0.00634962535788991,0.00373800536446574,437.96,Up
2015,0.00417745422919426,-1.9725771519197e-4,0.00144125040062722,0.00100888423456962,0.00634962535788991,485.69,Down
2015,-0.00488382863294912,0.00417745422919426,-1.9725771519197e-4,0.00144125040062722,0.00100888423456962,468.54,Up
2015,0.00897949644708517,-0.00488382863294912,0.00417745422919426,-1.9725771519197e-4,0.00144125040062722,481.23,Down
2015,-0.00563087797767631,0.00897949644708517,-0.00488382863294912,0.00417745422919426,-1.9725771519197e-4,433.19,Down
2015,-0.00256230044780002,-0.00563087797767631,0.00897949644708517,-0.00488382863294912,0.00417745422919426,417.03,Up
2015,0.00315473290464937,-0.00256230044780002,-0.00563087797767631,0.00897949644708517,-0.00488382863294912,462.81,Down
2015,-0.0111262520545637,0.00315473290464937,-0.00256230044780002,-0.00563087797767631,0.00897949644708517,405.49,Up
2015,0.00305842670633618,-0.0111262520545637,0.00315473290464937,-0.00256230044780002,-0.00563087797767631,460.96,Down
2015,-0.0167204862375668,0.00305842670633618,-0.0111262520545637,0.00315473290464937,-0.00256230044780002,456.59,Down
